,Naive,KR_DGI,KR_Chem,MKR,KR_DGI+Chem,LNSM_RLN_DGI,LNSM_RLN_Chem,LNSM_CMI_RLN,LNSM_SMI_RLN,LNSM_jaccard_DGI,LNSM_jaccard_Chem,LNSM_CMI_jaccard,LNSM_SMI_jaccard,SVM_WGTS_DGI,SVM_WGTS_Chem,SVM_WGTS_DGI_Chem,SVM_RBF_DGI,SVM_RBF_Chem,SVM_RBF_DGI+Chem,SVM_linear_DGI,SVM_linear_Chem,SVM_linear_DGI_Chem,KRNMF_DGI,KRNMF_Chem,KRNMF_DGI+Chem
LNSM_jaccard_Chem,1.667,11.128,4.761,13.067,9.856,-19.034,-3.573,-3.573,-7.616,-20.83,-,0.000,0.000,0.000,0.000,0.000,0.037,0.011,0.008,0.013,0.002,0.052,0.000,0.012,0.040
LNSM_CMI_jaccard,14.658,20.539,11.841,22.575,16.502,6.116,7.157,7.157,0.638,nan,20.83,-,0.000,0.005,0.139,0.023,0.000,0.000,0.000,0.003,0.043,0.009,0.000,0.000,0.002
LNSM_SMI_jaccard,-0.508,10.426,3.879,12.383,9.198,-20.912,-4.918,-4.918,-8.351,-21.125,-18.694,-21.125,-,0.000,0.000,0.000,0.168,0.031,0.014,0.006,0.001,0.024,0.000,0.021,0.056
SVM_WGTS_DGI,30.063,30.532,25.036,31.089,23.507,11.334,16.436,16.436,4.007,5.717,24.96,5.717,27.76,-,0.007,0.253,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.001
SVM_WGTS_Chem,27.204,20.243,53.146,21.509,26.575,6.651,33.951,33.951,2.006,1.846,16.027,1.846,17.961,-5.201,-,0.003,0.000,0.000,0.000,0.003,0.001,0.001,0.000,0.000,0.001
SVM_WGTS_DGI_Chem,21.437,24.244,59.309,25.613,34.129,8.515,18.863,18.863,3.864,3.568,15.792,3.568,17.498,-1.333,6.69,-,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
SVM_RBF_DGI,-1.983,14.791,3.299,19.766,15.939,-12.279,-5.881,-5.881,-13.495,-15.755,-3.079,-15.755,-1.681,-20.345,-17.762,-20.072,-,0.131,0.004,0.000,0.000,0.002,0.000,0.008,0.043
SVM_RBF_Chem,-5.447,9.452,4.174,11.218,10.666,-11.925,-11.39,-11.39,-9.762,-13.043,-4.461,-13.043,-3.269,-32.622,-38.077,-41.448,-1.892,-,0.014,0.002,0.000,0.002,0.001,0.033,0.090
SVM_RBF_DGI+Chem,-5.356,6.331,-2.075,7.943,7.715,-10.105,-9.677,-9.677,-13.421,-12.261,-4.886,-12.261,-4.179,-20.433,-21.852,-28.352,-6.041,-4.207,-,0.000,0.000,0.000,0.005,0.743,0.215
SVM_linear_DGI,4.346,20.802,7.234,26.441,18.87,-2.527,1.084,1.084,-8.324,-6.198,4.257,-6.198,5.241,-9.594,-6.297,-8.816,10.661,7.027,10.438,-,0.029,0.391,0.000,0.000,0.003
SVM_linear_Chem,9.641,19.23,25.424,22.013,85.844,0.475,5.574,5.574,-3.031,-2.927,7.566,-2.927,8.867,-8.796,-8.094,-13.014,18.549,18.624,28.852,3.323,-,0.004,0.000,0.000,0.001
SVM_linear_DGI_Chem,3.574,16.973,8.614,19.237,23.616,-2.345,0.625,0.625,-6.45,-4.757,2.736,-4.757,3.537,-9.859,-7.835,-12.244,7.633,7.234,19.251,-0.961,-6.029,-,0.000,0.000,0.001
KRNMF_DGI,-10.657,0.622,-6.064,5.128,-0.413,-17.959,-11.118,-11.118,-15.475,-19.575,-11.857,-19.575,-11.198,-35.319,-21.416,-27.315,-13.891,-10.212,-5.639,-20.455,-19.886,-16.32,-,0.008,0.373
KRNMF_Chem,-4.268,4.869,-1.71,6.351,13.391,-10.145,-8.087,-8.087,-15.248,-10.968,-4.361,-10.968,-3.692,-17.652,-20.123,-28.57,-4.825,-3.188,0.351,-10.472,-46.661,-21.272,4.871,-,0.208
KRNMF_DGI+Chem,-2.899,1.165,-1.655,1.726,0.88,-5.539,-4.414,-4.414,-9.223,-7.122,-2.998,-7.122,-2.664,-9.941,-8.736,-10.933,-2.936,-2.226,-1.47,-6.65,-8.105,-8.683,1.003,-1.499,-
